loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
lotomania,32,06/05/2000,True,05,12,17,20,23,28,29,39,41,42,49,66,67,76,79,80,83,92,94,95,05,20,29,49,12,83,23,28,41,80,79,42,95,67,94,66,92,39,76,17
lotomania,33,13/05/2000,False,06,11,12,13,14,23,28,33,34,39,49,52,56,60,71,76,82,86,90,93,49,13,82,93,14,52,34,11,06,23,90,76,60,28,71,56,39,86,33,12
lotomania,34,20/05/2000,False,02,09,12,14,19,20,23,24,28,44,45,51,54,58,61,66,77,79,82,89,66,45,77,82,61,24,23,28,51,20,19,89,44,54,09,58,02,14,79,12
lotomania,35,27/05/2000,True,04,08,11,12,14,22,23,28,36,42,47,48,49,53,54,60,67,85,88,99,23,48,85,47,88,12,11,42,99,67,22,04,14,49,28,54,53,08,36,60
lotomania,36,03/06/2000,True,05,09,16,17,43,50,51,55,56,57,58,65,69,71,76,78,85,86,88,89,71,56,58,05,16,17,85,86,65,50,88,76,78,57,43,69,51,55,09,89
lotomania,37,10/06/2000,False,01,03,06,09,17,20,21,35,38,43,44,50,52,55,73,74,82,97,98,99,44,43,74,73,99,01,20,03,82,97,98,50,09,55,17,35,38,21,52,06
lotomania,38,17/06/2000,False,02,04,11,12,20,23,30,35,36,49,53,55,56,57,58,61,66,83,98,99,56,04,58,55,30,35,66,36,57,02,11,20,83,99,12,53,61,49,23,98
lotomania,39,24/06/2000,False,00,02,05,09,11,17,18,24,26,30,33,38,44,52,57,70,72,78,81,84,84,24,17,26,33,57,78,70,72,02,00,05,38,30,81,52,44,09,11,18
lotomania,40,01/07/2000,False,05,07,08,09,16,25,41,43,51,55,57,62,67,74,77,80,83,86,90,99,55,74,07,05,62,09,77,57,80,41,83,16,90,67,51,08,99,86,43,25
lotomania,41,08/07/2000,False,04,09,11,22,26,29,33,37,41,47,50,52,58,64,65,71,77,82,86,98,98,50,37,33,47,04,86,64,26,82,29,58,11,09,71,77,22,41,52,65
lotomania,42,15/07/2000,False,03,12,18,20,21,29,35,41,47,48,64,67,73,74,75,80,83,86,89,99,12,18,48,74,75,29,35,41,83,64,03,80,86,89,67,73,99,21,20,47
lotomania,43,22/07/2000,True,06,08,17,18,19,30,31,32,39,53,54,58,75,77,84,86,90,93,94,96,17,54,93,31,96,32,08,94,18,39,30,53,75,77,86,90,58,84,06,19
lotomania,44,29/07/2000,True,00,08,15,18,23,28,32,36,38,40,44,52,54,72,77,78,80,81,87,99,78,15,40,28,32,87,36,52,44,72,23,38,80,18,54,00,81,77,08,99
lotomania,45,05/08/2000,False,00,01,03,14,18,24,30,33,37,41,42,57,67,68,69,70,74,80,86,90,03,33,74,80,18,70,90,24,01,30,67,69,37,68,42,57,14,41,86,00
lotomania,46,12/08/2000,True,00,02,05,09,12,24,25,28,31,32,41,45,50,63,78,81,93,94,97,98,05,02,98,97,28,50,93,94,24,12,78,25,63,45,00,09,81,32,31,41
lotomania,47,19/08/2000,True,07,10,11,18,21,31,34,39,42,50,70,75,78,80,82,89,92,95,96,97,07,21,18,95,80,75,10,78,31,96,50,11,92,42,89,97,82,70,34,39
lotomania,48,26/08/2000,False,00,05,09,13,14,15,18,30,34,35,37,45,47,56,64,68,70,74,88,98,34,64,15,14,37,13,56,00,30,05,98,09,68,47,45,35,88,18,74,70
lotomania,49,02/09/2000,False,21,29,31,37,40,44,45,50,55,61,62,79,80,81,83,85,86,88,95,97,29,45,50,85,86,55,21,80,61,81,79,40,44,62,37,95,83,97,88,31
lotomania,50,09/09/2000,False,00,06,08,20,24,26,27,28,30,34,39,40,42,43,54,66,68,71,73,82,34,20,26,24,73,68,06,54,08,40,28,00,27,71,30,66,82,39,43,42
lotomania,51,16/09/2000,True,01,03,04,10,16,21,40,41,46,47,51,53,57,60,63,75,82,83,89,98,41,21,01,53,10,83,03,98,16,89,51,82,40,46,60,75,63,47,57,04
lotomania,52,23/09/2000,False,01,06,09,13,18,26,31,37,45,50,53,65,69,73,80,81,85,87,89,99,85,50,81,09,53,26,89,87,31,18,65,37,80,45,73,99,69,06,01,13
lotomania,53,30/09/2000,False,06,08,10,12,18,21,28,32,34,39,41,42,49,50,56,59,62,82,86,95,56,08,28,42,82,18,12,41,10,34,86,49,59,32,62,95,21,50,39,06
