loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,o1,o2,o3,o4,o5,o6
megasena,1189,19/06/2010,True,14,21,27,31,35,50,50,21,14,35,31,27
megasena,1190,23/06/2010,False,10,11,19,37,53,56,11,53,56,37,10,19
megasena,1191,26/06/2010,True,03,11,16,22,25,33,25,22,11,16,33,03
megasena,1192,30/06/2010,True,17,20,49,52,57,59,49,17,20,59,57,52
megasena,1193,03/07/2010,True,02,09,12,14,32,54,12,54,02,32,14,09
megasena,1194,07/07/2010,True,06,13,24,41,50,53,24,53,41,06,13,50
megasena,1195,10/07/2010,False,17,20,26,27,55,57,27,17,57,26,55,20
megasena,1196,14/07/2010,True,03,06,19,20,58,60,60,03,20,19,58,06
megasena,1197,17/07/2010,True,36,37,39,49,54,60,39,54,36,37,60,49
megasena,1198,21/07/2010,True,22,29,36,41,48,58,29,22,36,58,41,48
megasena,1199,24/07/2010,True,16,19,23,28,39,58,58,28,23,39,16,19
megasena,1200,28/07/2010,False,03,10,11,39,54,56,10,03,39,54,56,11
megasena,1201,31/07/2010,True,28,32,36,49,55,60,36,32,55,49,60,28
megasena,1202,04/08/2010,True,08,09,11,48,53,60,09,60,11,53,48,08
megasena,1203,07/08/2010,True,07,09,30,33,38,55,55,30,33,09,07,38
megasena,1204,11/08/2010,True,05,10,25,39,43,52,10,25,05,39,52,43
megasena,1205,14/08/2010,True,04,13,14,26,29,35,14,04,26,35,29,13
megasena,1206,18/08/2010,True,02,06,11,36,37,48,02,11,37,36,48,06
megasena,1207,21/08/2010,True,09,11,22,32,35,56,32,35,22,09,56,11
megasena,1208,25/08/2010,True,01,12,20,26,45,54,45,12,01,26,54,20
megasena,1209,28/08/2010,True,05,14,17,30,35,38,30,17,38,14,05,35
megasena,1210,01/09/2010,True,03,07,09,10,31,34,03,07,09,10,31,34
megasena,1211,04/09/2010,False,03,15,31,36,48,54,36,54,03,31,15,48
megasena,1212,08/09/2010,True,02,23,33,35,40,50,35,50,02,23,33,40
megasena,1213,11/09/2010,True,03,11,26,34,45,53,03,53,45,11,34,26
megasena,1214,15/09/2010,True,05,29,30,36,41,48,05,41,29,36,30,48
megasena,1215,18/09/2010,True,10,25,30,47,50,51,47,51,10,50,30,25
megasena,1216,22/09/2010,True,04,07,13,25,27,58,07,25,04,58,13,27
megasena,1217,25/09/2010,True,05,11,15,28,43,50,05,43,28,15,11,50
megasena,1218,29/09/2010,True,10,23,29,31,33,46,33,23,29,46,10,31
megasena,1219,02/10/2010,True,02,33,34,37,41,53,34,37,41,53,02,33
megasena,1220,06/10/2010,False,05,15,43,48,52,55,48,55,52,43,05,15
megasena,1221,09/10/2010,True,05,14,37,43,46,58,46,05,58,37,14,43
megasena,1222,13/10/2010,True,05,08,19,26,48,57,26,19,48,57,05,08
megasena,1223,16/10/2010,True,15,17,35,42,47,48,17,15,48,42,35,47
megasena,1224,20/10/2010,False,19,21,27,41,53,57,41,19,57,53,21,27
megasena,1225,23/10/2010,False,31,32,34,40,50,55,32,55,34,31,50,40
megasena,1226,27/10/2010,True,10,31,40,50,55,56,31,55,56,50,40,10
megasena,1227,30/10/2010,False,04,28,30,31,35,54,35,31,04,30,54,28
megasena,1228,03/11/2010,True,10,23,36,50,52,60,36,10,60,52,50,23
megasena,1229,06/11/2010,True,12,30,32,40,49,60,12,49,60,32,30,40
megasena,1230,10/11/2010,True,09,12,19,22,35,37,37,35,12,22,19,09
megasena,1231,13/11/2010,False,05,20,23,27,39,49,20,27,49,05,23,39
megasena,1232,17/11/2010,True,08,11,12,15,18,22,12,18,15,08,11,22
megasena,1233,20/11/2010,True,22,29,32,49,54,59,49,22,59,29,32,54
megasena,1234,24/11/2010,True,03,05,19,24,30,35,03,05,24,19,30,35
megasena,1235,27/11/2010,True,10,16,20,26,49,55,16,49,55,20,10,26
megasena,1236,01/12/2010,True,03,08,17,20,38,53,17,20,38,08,53,03
megasena,1237,04/12/2010,False,05,18,21,26,39,59,26,21,39,05,18,59
megasena,1238,08/12/2010,True,13,14,24,39,40,45,40,45,24,14,13,39
megasena,1239,11/12/2010,True,01,15,37,39,48,52,15,01,48,37,39,52
megasena,1240,15/12/2010,True,08,09,12,22,42,49,22,42,49,08,12,09
megasena,1241,18/12/2010,True,10,13,25,26,28,45,13,26,25,10,28,45
megasena,1242,20/12/2010,True,11,34,45,48,51,54,54,45,51,11,34,48
megasena,1243,22/12/2010,True,09,19,23,29,32,57,32,19,23,57,09,29
megasena,1244,24/12/2010,True,02,08,15,25,34,45,45,08,34,15,02,25
megasena,1245,31/12/2010,False,02,10,34,37,43,50,34,10,37,50,43,02
megasena,1246,05/01/2011,True,10,37,40,43,57,59,59,10,37,57,40,43
megasena,1247,08/01/2011,True,03,09,11,24,36,51,09,11,24,03,51,36
megasena,1248,12/01/2011,True,20,33,34,57,58,60,20,33,58,34,57,60
megasena,1249,15/01/2011,False,03,08,36,40,51,53,03,40,08,53,51,36
megasena,1250,19/01/2011,True,01,02,24,40,51,59,59,01,02,40,51,24
megasena,1251,22/01/2011,True,05,27,34,46,48,52,48,27,34,52,46,05
megasena,1252,26/01/2011,True,02,14,35,39,49,51,35,02,51,14,49,39
megasena,1253,29/01/2011,True,02,17,23,43,44,51,02,51,17,44,43,23
megasena,1254,02/02/2011,True,07,09,14,18,29,39,09,29,18,07,14,39
megasena,1255,05/02/2011,True,05,23,38,39,51,54,23,05,54,39,38,51
megasena,1256,09/02/2011,True,26,33,35,38,43,53,26,38,33,35,53,43
megasena,1257,12/02/2011,False,02,15,26,27,30,52,27,15,30,52,26,02
megasena,1258,16/02/2011,True,11,26,47,55,57,59,47,26,11,57,59,55
megasena,1259,19/02/2011,True,04,06,39,46,54,58,39,54,58,46,04,06
megasena,1260,23/02/2011,True,19,23,29,31,41,53,19,23,31,53,29,41
megasena,1261,26/02/2011,True,10,14,22,41,42,53,10,41,14,22,53,42
megasena,1262,02/03/2011,False,05,07,08,09,11,39,11,39,09,05,08,07
megasena,1263,05/03/2011,True,04,18,26,36,41,53,41,53,18,04,36,26
megasena,1264,09/03/2011,True,04,17,36,37,51,56,56,17,37,51,04,36
megasena,1265,12/03/2011,True,13,19,24,46,50,60,13,50,46,24,60,19
megasena,1266,16/03/2011,True,06,10,33,39,42,60,39,06,42,10,60,33
megasena,1267,19/03/2011,True,04,20,30,41,47,58,47,58,04,41,20,30
megasena,1268,23/03/2011,True,03,16,17,44,53,60,17,53,60,44,16,03
megasena,1269,26/03/2011,False,04,05,15,17,27,51,51,05,27,04,15,17
megasena,1270,30/03/2011,True,05,09,24,31,33,42,31,33,24,05,42,09
megasena,1271,02/04/2011,True,01,02,39,48,52,59,02,52,39,59,48,01
megasena,1272,06/04/2011,True,13,26,27,28,35,52,28,27,13,35,26,52
megasena,1273,09/04/2011,True,13,19,26,40,58,60,60,26,19,58,13,40
megasena,1274,13/04/2011,True,13,17,21,39,40,59,13,59,21,17,40,39
megasena,1275,16/04/2011,True,02,14,48,55,58,60,58,55,14,02,60,48
megasena,1276,20/04/2011,False,05,09,11,22,36,40,09,40,05,22,36,11
megasena,1277,23/04/2011,True,12,18,31,50,59,60,50,59,18,31,60,12
megasena,1278,27/04/2011,True,04,16,24,25,30,56,04,16,24,56,25,30
megasena,1279,30/04/2011,True,08,14,29,35,36,40,08,29,36,35,14,40
megasena,1280,04/05/2011,True,06,10,16,20,29,54,29,06,54,10,20,16
megasena,1281,07/05/2011,False,08,11,14,30,36,38,36,14,30,38,11,08
megasena,1282,11/05/2011,True,04,23,39,52,55,56,04,39,56,23,52,55
megasena,1283,14/05/2011,True,08,30,40,44,59,60,59,08,60,44,40,30
megasena,1284,18/05/2011,True,20,21,26,29,31,36,26,21,20,36,31,29
megasena,1285,21/05/2011,True,10,15,28,31,33,38,33,10,15,38,31,28
megasena,1286,25/05/2011,True,02,05,28,33,51,52,05,52,02,33,51,28
megasena,1287,28/05/2011,True,11,12,31,33,42,52,33,42,12,31,11,52
megasena,1288,01/06/2011,True,17,30,32,40,42,56,42,32,56,40,30,17
megasena,1289,04/06/2011,False,01,03,08,13,27,52,13,08,27,01,03,52
megasena,1290,08/06/2011,True,02,03,14,23,34,50,14,50,03,23,02,34
megasena,1291,11/06/2011,True,18,40,47,54,57,58,18,57,58,40,47,54
megasena,1292,15/06/2011,True,09,11,23,30,31,54,30,31,23,09,54,11
megasena,1293,18/06/2011,True,01,13,24,40,44,50,24,50,01,44,13,40
megasena,1294,22/06/2011,True,04,06,29,48,50,51,06,50,04,48,29,51
megasena,1295,25/06/2011,False,02,05,15,20,43,57,20,02,43,15,05,57
megasena,1296,29/06/2011,True,10,14,43,46,49,53,49,43,14,10,53,46
megasena,1297,02/07/2011,True,02,05,11,13,56,59,02,56,11,05,59,13
megasena,1298,06/07/2011,False,14,15,30,53,55,60,60,14,53,30,15,55
megasena,1299,09/07/2011,True,08,22,32,43,53,56,56,32,08,22,43,53
megasena,1300,13/07/2011,False,43,44,46,53,54,59,46,43,59,54,44,53
megasena,1301,16/07/2011,False,03,16,23,25,51,56,16,25,03,51,23,56
megasena,1302,20/07/2011,True,02,10,15,44,56,57,44,15,56,02,10,57
megasena,1303,23/07/2011,True,08,19,46,51,52,54,19,51,54,08,52,46
megasena,1304,27/07/2011,True,07,14,15,20,23,35,35,23,15,07,20,14
megasena,1305,30/07/2011,True,03,05,11,36,44,46,44,11,05,46,36,03
megasena,1306,03/08/2011,True,06,19,22,34,43,45,45,06,19,34,43,22
megasena,1307,06/08/2011,False,07,10,32,43,47,54,10,47,54,07,43,32
megasena,1308,09/08/2011,True,07,08,24,30,33,47,24,33,07,30,47,08
megasena,1309,11/08/2011,True,07,12,25,26,32,39,07,12,25,26,32,39
megasena,1310,13/08/2011,True,08,09,14,32,53,59,14,08,53,09,59,32
megasena,1311,17/08/2011,True,07,09,12,19,45,54,54,07,19,12,45,09
megasena,1312,20/08/2011,True,05,20,22,28,29,30,28,30,29,22,20,05
megasena,1313,24/08/2011,True,01,04,26,39,43,49,39,26,49,01,04,43
megasena,1314,27/08/2011,True,38,42,44,52,58,60,42,44,52,58,60,38
megasena,1315,31/08/2011,False,01,27,29,38,50,52,27,29,01,50,52,38
megasena,1316,03/09/2011,False,08,13,25,34,42,48,48,34,25,42,13,08
megasena,1317,08/09/2011,True,06,13,29,30,35,37,35,29,37,13,06,30
megasena,1318,10/09/2011,True,11,14,16,28,34,46,34,46,14,28,11,16
megasena,1319,14/09/2011,True,04,05,16,18,27,51,16,04,18,27,05,51
megasena,1320,17/09/2011,True,17,24,25,38,41,55,38,17,55,41,24,25
megasena,1321,21/09/2011,False,10,47,51,53,59,60,51,59,47,10,60,53
megasena,1322,24/09/2011,True,10,21,43,47,53,55,55,43,21,10,47,53
megasena,1323,28/09/2011,True,06,15,25,37,48,55,25,37,15,06,48,55
megasena,1324,01/10/2011,True,18,29,31,44,51,57,29,44,51,31,18,57
megasena,1325,05/10/2011,True,02,05,16,20,35,43,35,02,20,43,05,16
megasena,1326,08/10/2011,True,10,11,18,19,30,50,30,19,10,18,50,11
megasena,1327,13/10/2011,True,16,35,36,41,52,54,41,35,36,16,52,54
megasena,1328,15/10/2011,False,10,23,27,43,53,59,43,27,59,53,23,10
megasena,1329,19/10/2011,True,07,08,11,39,43,50,43,50,08,07,39,11
megasena,1330,22/10/2011,True,08,18,21,30,48,49,48,08,21,18,49,30
megasena,1331,26/10/2011,False,09,24,26,39,46,57,24,46,39,57,26,09
megasena,1332,29/10/2011,False,03,05,13,24,35,59,05,13,03,24,35,59
megasena,1333,03/11/2011,True,25,26,28,33,42,51,25,51,26,42,28,33
megasena,1334,05/11/2011,True,01,06,08,10,25,27,08,25,27,06,10,01
megasena,1335,09/11/2011,False,03,14,20,22,49,51,49,03,51,20,22,14
megasena,1336,12/11/2011,False,01,32,38,47,51,54,51,54,32,01,38,47
megasena,1337,16/11/2011,True,02,20,35,38,45,51,38,02,45,35,20,51
megasena,1338,19/11/2011,False,01,18,19,33,43,60,19,33,18,43,60,01
megasena,1339,23/11/2011,True,07,10,14,16,54,59,59,10,16,14,07,54
megasena,1340,26/11/2011,True,13,21,30,36,59,60,36,21,13,59,60,30
megasena,1341,30/11/2011,True,01,11,20,37,40,52,11,40,37,20,01,52
megasena,1342,03/12/2011,True,05,07,42,46,50,60,05,60,46,42,50,07
megasena,1343,07/12/2011,True,19,20,31,42,51,56,51,31,42,20,56,19
megasena,1344,10/12/2011,False,08,19,21,36,42,59,19,42,08,36,21,59
megasena,1345,14/12/2011,True,07,17,19,26,40,50,50,40,26,07,19,17
megasena,1346,17/12/2011,False,12,32,40,47,48,59,59,47,32,48,40,12
megasena,1347,20/12/2011,True,09,19,45,46,54,56,19,45,54,56,46,09
megasena,1348,22/12/2011,True,07,12,38,39,45,56,38,45,39,07,12,56
megasena,1349,24/12/2011,False,09,19,20,50,51,60,09,19,20,50,60,51
megasena,1350,31/12/2011,False,03,04,29,36,45,55,04,36,29,55,45,03
megasena,1351,04/01/2012,True,13,33,36,41,50,56,13,50,41,36,56,33
megasena,1352,07/01/2012,True,09,18,24,35,36,59,35,59,36,09,18,24
megasena,1353,11/01/2012,False,03,11,13,27,32,47,47,11,03,27,32,13
megasena,1354,14/01/2012,False,02,08,38,42,48,49,02,42,08,49,48,38
megasena,1355,18/01/2012,True,11,17,24,39,46,49,39,49,11,24,17,46
megasena,1356,21/01/2012,True,06,13,21,22,31,46,21,46,06,22,13,31
megasena,1357,25/01/2012,True,01,19,24,26,52,55,55,52,26,19,01,24
megasena,1358,28/01/2012,True,03,15,16,35,37,47,16,15,37,03,35,47
megasena,1359,01/02/2012,True,06,10,12,17,28,53,12,17,28,53,06,10
megasena,1360,04/02/2012,False,02,16,17,25,50,54,50,25,17,16,54,02
megasena,1361,08/02/2012,True,23,27,30,37,38,44,37,27,44,30,38,23
megasena,1362,11/02/2012,False,02,12,19,22,36,58,58,19,12,22,02,36
megasena,1363,15/02/2012,True,25,35,42,45,52,57,52,25,42,45,35,57
megasena,1364,18/02/2012,True,10,13,20,40,44,53,20,13,40,10,53,44
megasena,1365,22/02/2012,True,02,24,26,32,35,50,50,35,32,26,02,24
megasena,1366,25/02/2012,False,12,27,37,44,54,59,59,44,54,37,27,12
megasena,1367,01/03/2012,True,02,07,13,29,38,43,38,29,43,13,07,02
megasena,1368,03/03/2012,False,10,21,26,29,32,38,10,26,29,38,32,21
megasena,1369,07/03/2012,True,05,16,24,32,38,46,32,24,16,38,05,46
megasena,1370,10/03/2012,False,02,04,05,27,49,59,02,27,59,49,04,05
megasena,1371,14/03/2012,True,03,04,08,11,47,49,47,11,08,49,03,04
megasena,1372,17/03/2012,True,03,36,40,46,58,60,46,60,58,36,40,03
megasena,1373,21/03/2012,False,07,27,39,52,55,57,52,39,07,27,55,57
megasena,1374,24/03/2012,True,06,21,28,31,33,43,21,33,28,31,43,06
megasena,1375,28/03/2012,False,14,25,28,45,53,58,25,28,53,45,14,58
megasena,1376,31/03/2012,True,09,11,21,49,53,54,53,49,21,11,54,09
megasena,1377,04/04/2012,False,02,05,12,13,25,35,25,05,13,12,35,02
megasena,1378,07/04/2012,True,02,05,17,18,54,59,18,17,59,02,54,05
megasena,1379,11/04/2012,True,05,12,36,45,50,58,45,05,36,12,50,58
megasena,1380,14/04/2012,True,03,14,52,55,57,60,52,14,03,60,57,55
megasena,1381,18/04/2012,False,11,27,30,40,44,57,44,30,27,11,40,57
megasena,1382,20/04/2012,True,05,13,16,17,27,55,17,27,55,13,05,16
megasena,1383,25/04/2012,True,07,09,23,44,46,55,09,55,23,44,07,46
megasena,1384,28/04/2012,False,02,18,30,31,45,56,56,18,31,02,30,45
megasena,1385,02/05/2012,False,27,35,36,37,42,59,42,37,35,27,59,36
megasena,1386,05/05/2012,True,12,28,38,39,51,56,39,56,28,12,51,38
megasena,1387,09/05/2012,True,18,27,32,43,50,52,43,27,18,52,50,32
megasena,1388,12/05/2012,True,22,29,31,43,50,54,54,31,50,43,29,22
megasena,1389,16/05/2012,False,01,16,28,39,44,57,01,44,39,16,57,28
megasena,1390,19/05/2012,False,04,19,27,28,29,31,29,27,19,04,28,31
megasena,1391,23/05/2012,True,07,12,19,34,40,53,19,07,12,34,53,40
megasena,1392,26/05/2012,True,02,08,12,28,33,43,43,08,02,28,33,12
megasena,1393,30/05/2012,False,04,18,24,28,39,44,44,28,18,24,04,39
megasena,1394,02/06/2012,True,11,16,24,35,46,50,11,35,16,46,24,50
megasena,1395,06/06/2012,True,05,11,17,19,44,48,05,44,11,19,17,48
megasena,1396,09/06/2012,True,29,48,52,54,55,58,52,48,54,58,55,29
megasena,1397,13/06/2012,True,03,04,07,15,27,56,15,56,03,27,04,07
megasena,1398,16/06/2012,True,14,32,33,40,42,51,42,51,14,40,32,33
megasena,1399,20/06/2012,False,34,39,43,56,57,60,39,43,60,57,34,56
megasena,1400,23/06/2012,True,09,26,34,43,53,54,34,26,09,43,54,53
megasena,1401,27/06/2012,False,11,12,25,33,48,54,12,11,54,33,48,25
megasena,1402,30/06/2012,True,02,09,10,21,27,38,38,10,27,02,21,09
megasena,1403,04/07/2012,True,13,16,20,26,39,42,16,39,13,26,42,20
megasena,1404,07/07/2012,True,07,08,27,31,32,51,07,32,31,51,27,08
megasena,1405,11/07/2012,False,03,14,17,32,37,39,14,17,32,37,39,03
megasena,1406,14/07/2012,True,07,10,17,24,38,57,07,10,38,17,24,57
megasena,1407,18/07/2012,True,18,29,31,42,43,53,53,42,31,43,29,18
megasena,1408,21/07/2012,True,04,19,20,24,39,43,43,39,20,19,24,04
megasena,1409,25/07/2012,True,06,19,26,47,50,58,50,06,47,58,26,19
megasena,1410,28/07/2012,True,18,29,40,42,50,54,54,29,18,42,40,50
megasena,1411,01/08/2012,False,08,12,32,44,46,48,32,44,12,08,48,46
megasena,1412,04/08/2012,False,06,08,24,37,41,45,06,08,37,24,45,41
megasena,1413,07/08/2012,True,13,15,33,45,54,55,54,33,13,55,45,15
megasena,1414,09/08/2012,True,21,37,44,46,49,57,44,49,57,37,21,46
megasena,1415,11/08/2012,True,26,36,40,46,49,51,51,49,46,40,36,26
megasena,1416,15/08/2012,False,03,19,22,24,35,49,49,03,19,35,22,24
megasena,1417,18/08/2012,False,05,12,45,52,56,59,12,56,05,52,45,59
megasena,1418,22/08/2012,True,07,08,10,12,27,56,07,08,10,27,12,56
megasena,1419,25/08/2012,True,17,21,30,48,52,58,52,21,48,58,30,17
megasena,1420,29/08/2012,True,02,11,16,18,36,45,45,16,18,11,36,02
megasena,1421,01/09/2012,False,19,31,39,44,53,59,31,39,59,19,53,44
megasena,1422,05/09/2012,False,02,05,13,17,39,44,17,44,02,05,13,39
megasena,1423,08/09/2012,False,03,08,21,25,27,43,43,08,21,27,03,25
megasena,1424,12/09/2012,True,03,07,15,29,38,60,60,38,29,03,07,15
megasena,1425,15/09/2012,False,07,16,29,36,38,50,07,29,50,16,38,36
megasena,1426,19/09/2012,True,06,15,18,24,30,44,24,44,06,15,18,30
megasena,1427,22/09/2012,True,08,39,44,47,53,56,47,44,53,56,08,39
megasena,1428,26/09/2012,False,07,15,19,34,37,55,15,55,37,34,19,07
megasena,1429,29/09/2012,True,09,12,22,39,48,60,09,22,60,48,12,39
megasena,1430,03/10/2012,True,02,19,22,30,46,52,19,02,30,46,22,52
megasena,1431,06/10/2012,True,05,09,13,33,40,54,33,54,40,05,09,13
megasena,1432,10/10/2012,True,16,24,25,42,45,59,16,24,25,45,59,42
megasena,1433,13/10/2012,False,04,13,14,40,46,52,14,46,40,13,04,52
megasena,1434,17/10/2012,False,03,18,22,34,55,58,03,34,58,22,18,55
megasena,1435,20/10/2012,True,04,15,45,47,50,52,45,47,50,52,15,04
megasena,1436,24/10/2012,True,01,13,23,24,30,57,01,23,13,30,24,57
megasena,1437,27/10/2012,True,22,23,26,37,38,48,48,37,26,22,38,23
megasena,1438,31/10/2012,False,07,14,31,33,36,49,49,07,33,31,36,14
megasena,1439,03/11/2012,True,02,34,35,42,43,55,35,55,02,43,34,42
megasena,1440,07/11/2012,False,02,06,28,36,51,56,06,28,56,02,36,51
megasena,1441,10/11/2012,True,17,29,36,38,53,56,56,29,53,36,38,17
megasena,1442,14/11/2012,True,12,13,20,30,34,49,12,20,13,49,34,30
megasena,1443,17/11/2012,True,12,20,32,48,52,54,52,32,12,54,20,48
megasena,1444,21/11/2012,True,02,05,27,28,48,55,02,05,55,28,27,48
megasena,1445,24/11/2012,False,05,19,32,41,49,58,41,32,19,58,05,49
megasena,1446,28/11/2012,False,06,13,24,32,40,51,13,32,06,51,40,24
megasena,1447,01/12/2012,True,01,19,28,33,39,41,01,41,28,33,39,19
megasena,1448,05/12/2012,True,01,25,29,36,56,60,25,29,36,01,56,60
megasena,1449,08/12/2012,True,02,06,18,30,52,56,02,18,30,56,52,06
megasena,1450,12/12/2012,True,26,27,31,38,44,45,27,45,44,26,38,31
megasena,1451,15/12/2012,True,02,10,11,33,52,57,57,10,33,02,11,52
megasena,1452,18/12/2012,True,02,14,28,50,57,58,50,57,58,28,02,14
megasena,1453,20/12/2012,True,06,13,25,32,47,57,47,32,25,57,06,13
megasena,1454,22/12/2012,True,04,27,29,41,48,52,27,52,41,29,04,48
megasena,1455,31/12/2012,False,14,32,33,36,41,52,33,14,52,36,32,41
megasena,1456,02/01/2013,True,06,08,14,26,36,40,36,06,40,14,08,26
megasena,1457,05/01/2013,True,15,16,34,42,46,59,34,16,46,15,42,59
megasena,1458,09/01/2013,True,02,04,16,33,44,51,02,16,04,44,33,51
megasena,1459,12/01/2013,False,02,06,30,34,35,52,02,06,35,30,52,34
megasena,1460,16/01/2013,True,04,14,27,38,50,52,50,52,14,04,27,38
megasena,1461,19/01/2013,True,31,36,44,47,49,54,44,31,49,54,36,47
megasena,1462,23/01/2013,False,05,09,25,27,38,40,05,09,25,40,38,27
megasena,1463,26/01/2013,True,13,22,28,29,40,48,40,22,13,29,48,28
megasena,1464,30/01/2013,True,02,24,32,50,54,59,59,02,54,32,24,50
megasena,1465,02/02/2013,True,06,11,16,26,44,53,11,06,53,44,16,26
megasena,1466,06/02/2013,False,04,06,13,34,37,51,04,13,51,37,06,34
megasena,1467,09/02/2013,False,23,24,26,41,52,53,41,53,26,23,52,24
megasena,1468,13/02/2013,False,01,02,10,19,20,37,02,20,37,19,01,10
megasena,1469,16/02/2013,True,04,13,35,54,56,58,04,56,54,13,35,58
megasena,1470,20/02/2013,False,02,34,36,38,51,55,02,34,51,36,38,55
megasena,1471,23/02/2013,True,10,25,33,36,40,58,58,33,36,40,25,10
megasena,1472,27/02/2013,True,12,18,23,25,45,50,12,23,25,18,45,50
megasena,1473,02/03/2013,True,02,12,33,57,58,60,60,12,57,58,33,02
megasena,1474,06/03/2013,False,01,02,03,11,28,43,02,43,11,01,03,28
megasena,1475,09/03/2013,False,12,13,37,44,48,51,13,12,51,37,48,44
megasena,1476,13/03/2013,True,04,10,26,37,47,57,26,10,04,37,47,57
megasena,1477,16/03/2013,True,03,04,46,50,56,59,50,59,56,46,03,04
megasena,1478,20/03/2013,True,10,27,37,40,47,55,10,40,27,47,55,37
megasena,1479,23/03/2013,True,21,48,50,54,57,60,57,21,54,48,50,60
megasena,1480,27/03/2013,False,09,14,21,26,36,52,09,14,26,36,52,21
megasena,1481,30/03/2013,True,17,27,28,40,44,55,40,27,55,17,28,44
megasena,1482,03/04/2013,True,06,09,11,34,41,53,11,09,06,34,41,53
megasena,1483,06/04/2013,True,01,35,39,53,55,56,55,53,01,35,56,39
megasena,1484,10/04/2013,True,17,20,24,29,49,53,49,29,17,53,20,24
megasena,1485,13/04/2013,True,04,27,30,36,54,59,30,59,27,36,04,54
megasena,1486,17/04/2013,False,01,06,10,34,40,54,10,01,34,54,06,40
megasena,1487,20/04/2013,True,04,09,17,23,28,53,04,17,23,28,09,53
megasena,1488,24/04/2013,False,04,22,25,38,45,51,04,51,45,22,38,25
megasena,1489,27/04/2013,False,01,15,24,26,28,48,48,15,24,28,01,26
megasena,1490,02/05/2013,True,01,03,31,32,43,52,31,32,43,03,52,01
megasena,1491,04/05/2013,True,06,26,45,50,56,60,56,06,45,60,26,50
megasena,1492,08/05/2013,False,04,09,18,44,46,48,48,44,46,04,18,09
megasena,1493,11/05/2013,False,07,12,24,27,30,49,30,24,12,49,07,27
megasena,1494,15/05/2013,True,02,14,24,28,35,50,50,28,35,24,02,14
megasena,1495,18/05/2013,True,04,13,14,44,49,57,13,49,04,44,14,57
megasena,1496,22/05/2013,True,14,18,28,41,47,54,28,18,41,54,14,47
megasena,1497,25/05/2013,True,04,05,07,27,45,58,58,07,27,45,04,05
megasena,1498,29/05/2013,True,06,11,27,40,46,49,11,46,27,49,06,40
megasena,1499,01/06/2013,False,08,22,26,33,37,54,26,37,08,22,54,33
megasena,1500,05/06/2013,False,10,18,31,43,57,59,57,43,18,59,10,31
megasena,1501,08/06/2013,False,01,07,13,29,37,54,13,37,54,07,29,01
megasena,1502,12/06/2013,True,06,22,43,51,52,57,06,43,22,52,57,51
megasena,1503,15/06/2013,True,03,04,16,22,36,42,36,22,42,03,16,04
megasena,1504,19/06/2013,True,02,10,12,30,41,42,41,02,42,30,12,10
megasena,1505,22/06/2013,True,01,02,06,09,16,32,32,01,06,09,16,02
megasena,1506,26/06/2013,True,03,14,18,34,42,49,49,34,42,18,03,14
megasena,1507,29/06/2013,True,24,46,50,51,52,56,46,24,51,50,56,52
megasena,1508,03/07/2013,False,17,18,30,35,39,58,58,39,18,17,35,30
megasena,1509,06/07/2013,True,01,06,27,46,51,59,27,51,01,46,59,06
megasena,1510,10/07/2013,False,01,08,17,44,46,53,01,08,44,17,46,53
megasena,1511,13/07/2013,True,04,08,17,29,31,45,08,29,31,04,17,45
megasena,1512,17/07/2013,True,11,28,35,42,46,58,35,11,28,46,42,58
megasena,1513,20/07/2013,True,17,28,31,56,57,58,31,57,17,56,28,58
megasena,1514,24/07/2013,False,16,17,23,42,59,60,23,16,17,59,42,60
megasena,1515,27/07/2013,False,04,13,14,18,49,59,59,49,13,18,04,14
megasena,1516,31/07/2013,False,04,18,20,34,45,60,34,60,18,45,04,20
megasena,1517,03/08/2013,True,07,17,38,45,52,56,45,38,52,17,07,56
megasena,1518,06/08/2013,True,08,09,28,41,48,55,28,08,55,41,48,09
megasena,1519,08/08/2013,True,05,06,15,23,56,59,06,23,56,15,05,59
megasena,1520,10/08/2013,True,07,31,35,36,46,48,36,46,48,31,07,35
megasena,1521,14/08/2013,False,11,14,18,30,33,39,18,30,14,11,33,39
megasena,1522,17/08/2013,True,05,08,23,32,33,56,33,05,23,32,08,56
megasena,1523,21/08/2013,True,22,25,31,39,41,44,25,39,44,41,31,22
megasena,1524,24/08/2013,True,02,12,40,46,52,53,40,53,12,46,02,52
megasena,1525,28/08/2013,True,02,26,30,35,46,54,30,46,35,54,26,02
megasena,1526,31/08/2013,False,10,16,28,47,51,59,51,47,28,10,59,16
megasena,1527,04/09/2013,True,16,32,36,42,44,48,32,44,42,48,16,36
megasena,1528,06/09/2013,True,04,13,15,19,36,58,04,13,58,36,19,15
megasena,1529,11/09/2013,False,11,15,17,34,35,49,35,17,15,34,49,11
megasena,1530,14/09/2013,False,10,16,28,33,48,53,53,10,28,16,48,33
megasena,1531,18/09/2013,True,12,13,24,41,42,44,24,41,12,42,44,13
megasena,1532,21/09/2013,False,02,11,23,31,42,44,42,02,11,23,31,44
megasena,1533,25/09/2013,True,13,21,29,34,47,57,29,21,47,57,13,34
megasena,1534,28/09/2013,False,01,12,28,29,34,48,28,12,34,29,01,48
megasena,1535,02/10/2013,True,08,09,25,41,54,55,55,25,09,08,54,41
megasena,1536,05/10/2013,True,13,18,29,32,50,58,18,32,29,13,50,58
