loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,o1,o2,o3,o4,o5
quina,93,12/03/1995,True,04,06,27,68,74,04,06,27,68,74
quina,94,16/03/1995,False,01,19,59,65,80,01,19,59,65,80
quina,95,19/03/1995,True,06,43,50,63,71,06,43,50,63,71
quina,96,23/03/1995,False,04,50,51,52,77,04,50,51,52,77
quina,97,26/03/1995,False,05,06,16,54,70,05,06,16,54,70
quina,98,30/03/1995,False,04,16,17,35,49,04,16,17,35,49
quina,99,02/04/1995,False,02,09,17,66,76,02,09,17,66,76
quina,100,06/04/1995,False,33,36,56,58,60,33,36,56,58,60
quina,101,09/04/1995,False,12,27,28,30,36,12,27,28,30,36
quina,102,16/04/1995,False,05,23,50,65,67,05,23,50,65,67
quina,103,23/04/1995,True,12,16,53,64,66,12,16,53,64,66
quina,104,27/04/1995,False,20,30,36,48,53,20,30,36,48,53
quina,105,30/04/1995,False,03,07,45,46,65,03,07,45,46,65
quina,106,07/05/1995,True,20,21,43,45,67,20,21,43,45,67
quina,107,11/05/1995,False,02,03,30,39,72,02,03,30,39,72
quina,108,14/05/1995,False,01,19,50,52,54,01,19,50,52,54
quina,109,18/05/1995,False,01,21,27,48,78,01,21,27,48,78
quina,110,21/05/1995,False,01,19,27,36,57,01,19,27,36,57
quina,111,25/05/1995,False,15,42,54,68,76,15,42,54,68,76
quina,112,28/05/1995,True,31,41,75,76,79,31,41,75,76,79
quina,113,01/06/1995,False,12,14,42,61,69,12,14,42,61,69
quina,114,04/06/1995,False,10,20,44,58,65,10,20,44,58,65
quina,115,08/06/1995,False,02,21,38,54,73,02,21,38,54,73
quina,116,11/06/1995,False,16,20,34,56,57,16,20,34,56,57
quina,117,18/06/1995,False,07,11,24,42,49,07,11,24,42,49
quina,118,22/06/1995,False,14,23,26,56,77,14,23,26,56,77
quina,119,25/06/1995,False,02,16,19,26,27,02,16,19,26,27
quina,120,29/06/1995,False,07,39,48,58,62,07,39,48,58,62
quina,121,02/07/1995,False,19,22,53,69,77,19,22,53,69,77
quina,122,06/07/1995,False,02,08,12,53,54,02,08,12,53,54
quina,123,09/07/1995,False,08,20,64,68,73,08,20,64,68,73
quina,124,13/07/1995,False,10,11,12,23,37,10,11,12,23,37
quina,125,16/07/1995,True,10,13,22,50,66,10,13,22,50,66
quina,126,20/07/1995,False,04,12,63,78,80,04,12,63,78,80
quina,127,23/07/1995,False,14,18,59,60,64,14,18,59,60,64
quina,128,27/07/1995,False,17,24,47,49,66,17,24,47,49,66
quina,129,30/07/1995,False,05,09,12,23,71,05,09,12,23,71
quina,130,02/08/1995,False,18,34,38,40,43,18,34,38,40,43
quina,131,06/08/1995,True,13,32,56,73,74,13,32,56,73,74
quina,132,10/08/1995,False,19,25,63,74,77,19,25,63,74,77
quina,133,13/08/1995,False,13,18,43,47,53,13,18,43,47,53
quina,134,17/08/1995,False,10,28,60,62,74,10,28,60,62,74
quina,135,20/08/1995,False,02,53,57,62,64,02,53,57,62,64
quina,136,24/08/1995,False,09,19,24,59,61,09,19,24,59,61
quina,137,28/08/1995,False,13,14,37,66,75,13,14,37,66,75
quina,138,31/08/1995,True,13,23,37,56,80,13,23,37,56,80
quina,139,03/09/1995,False,14,52,54,65,77,14,52,54,65,77
quina,140,10/09/1995,True,32,43,50,57,75,32,43,50,57,75
quina,141,14/09/1995,False,06,51,53,54,57,06,51,53,54,57
quina,142,17/09/1995,False,15,21,56,79,80,15,21,56,79,80
quina,143,21/09/1995,True,14,27,39,48,61,14,27,39,48,61
quina,144,24/09/1995,False,16,24,42,71,75,16,24,42,71,75
quina,145,28/09/1995,False,02,08,40,55,60,02,08,40,55,60
quina,146,01/10/1995,False,12,18,21,31,69,12,18,21,31,69
quina,147,05/10/1995,False,01,18,52,67,72,01,18,52,67,72
quina,148,08/10/1995,False,32,33,43,46,52,32,33,43,46,52
quina,149,15/10/1995,False,08,16,18,22,73,08,16,18,22,73
quina,150,19/10/1995,False,12,24,26,39,40,12,24,26,39,40
quina,151,22/10/1995,False,22,23,42,54,65,22,23,42,54,65
quina,152,26/10/1995,False,05,14,31,38,75,05,14,31,38,75
quina,153,29/10/1995,False,02,10,11,15,66,02,10,11,15,66
quina,154,05/11/1995,False,05,09,41,64,67,67,64,09,05,41
quina,155,09/11/1995,True,12,30,48,70,75,12,30,48,70,75
quina,156,12/11/1995,False,07,12,29,54,55,07,12,29,54,55
quina,157,19/11/1995,True,42,50,52,66,72,42,50,52,66,72
quina,158,23/11/1995,False,02,27,35,44,55,02,27,35,44,55
quina,159,26/11/1995,False,04,11,24,25,32,04,11,24,25,32
quina,160,30/11/1995,False,08,25,42,60,63,08,25,42,60,63
quina,161,03/12/1995,True,13,29,41,61,74,13,29,41,61,74
quina,162,07/12/1995,False,20,25,57,67,78,20,25,57,67,78
quina,163,10/12/1995,False,09,14,16,52,71,09,14,16,52,71
quina,164,14/12/1995,False,07,09,19,45,80,07,09,19,45,80
quina,165,17/12/1995,False,12,21,27,45,75,12,21,27,45,75
quina,166,21/12/1995,False,02,31,41,43,44,02,31,41,43,44
quina,167,26/12/1995,False,20,33,62,63,69,20,33,62,63,69
quina,168,02/01/1996,False,15,26,30,44,69,15,26,30,44,69
quina,169,07/01/1996,False,03,15,30,56,72,03,15,30,56,72
quina,170,11/01/1996,False,18,22,27,74,75,18,22,27,74,75
quina,171,14/01/1996,False,12,18,37,47,56,12,18,37,47,56
